route_short_name,agency_name,route_long_name,num_trips,mean_trip_distance,start_stop_id,end_stop_id,start_stop_name,end_stop_name,start_stop_city,end_stop_city,start_stop_desc,end_stop_desc,start_stop_lat,start_stop_lon,end_stop_lat,end_stop_lon,line_type,line_type_desc
165,אגד,ת. מרכזית רחובות/רציפים-רחובות<->רכבת קריית אריה/חנה וסע-פתח תקווה-2#,4,30653,37663,40885,ת. מרכזית רחובות/רציפים,רכבת קריית אריה/חנה וסע,רחובות,פתח תקווה,רחוב:קניון עופר רחובות  עיר: רחובות רציף: 1   קומה:,רחוב:  עיר: פתח תקווה רציף:   קומה:,31.893459,34.807735,32.105353,34.863597,3,בינעירוני
138,קווים,הרצל / טרומפלדור-יהוד מונוסון<->דוד סחרוב/אברהם בר-ראשון לציון-10,16,23641,15627,977,הרצל / טרומפלדור,דוד סחרוב/אברהם בר,יהוד מונוסון,ראשון לציון,רחוב:הרצל 16 עיר: יהוד מונוסון רציף:   קומה:,רחוב:דוד סחרוב 28 עיר: ראשון לציון רציף:   קומה:,32.031845,34.886064,31.989251,34.774917,1,עירוני
138,קווים,רוז'נסקי/משה לוי-ראשון לציון<->מסוף יהוד/הורדה-יהוד מונוסון-20,16,25023,15860,41264,רוז'נסקי/משה לוי,מסוף יהוד/הורדה,ראשון לציון,יהוד מונוסון,רחוב:רוז'נסקי 11 עיר: ראשון לציון רציף:   קומה:,רחוב:  עיר: יהוד מונוסון רציף:   קומה:,31.986113,34.772754,32.027062,34.891103,1,עירוני
139,קווים,בקו''ם/שדרות אהרון קציר-רמת גן<->דוד סחרוב/אברהם בר-ראשון לציון-10,16,25613,25123,977,בקו''ם/שדרות אהרון קציר,דוד סחרוב/אברהם בר,רמת גן,ראשון לציון,רחוב:שדרות אהרון קציר  עיר: רמת גן רציף:   קומה:,רחוב:דוד סחרוב 28 עיר: ראשון לציון רציף:   קומה:,32.050925,34.849424,31.989251,34.774917,1,עירוני
139,קווים,רוז'נסקי/משה לוי-ראשון לציון<->בקו''ם/שדרות אהרון קציר-רמת גן-20,16,26292,15860,15878,רוז'נסקי/משה לוי,בקו''ם/שדרות אהרון קציר,ראשון לציון,רמת גן,רחוב:רוז'נסקי 11 עיר: ראשון לציון רציף:   קומה:,רחוב:  עיר: רמת גן רציף:   קומה:,31.986113,34.772754,32.050905,34.84914,1,עירוני
168,קווים,מסוף כרמלית-תל אביב יפו<->מסוף קרית אונו-קרית אונו-10,31,17321,13269,37715,מסוף כרמלית,מסוף קרית אונו,תל אביב יפו,קרית אונו,רחוב:יצחק אלחנן  עיר: תל אביב יפו רציף:   קומה:,רחוב:  עיר: קרית אונו רציף:   קומה:,32.066069,34.764834,32.037353,34.866052,1,עירוני
54,דן,מסוף כרמלית-תל אביב יפו<->עתידים-תל אביב יפו-10,58,16221,13484,14206,מסוף כרמלית,עתידים,תל אביב יפו,תל אביב יפו,רחוב:כרמלית  עיר: תל אביב יפו רציף:   קומה:,רחוב:דבורה הנביאה 128 עיר: תל אביב יפו רציף:   קומה:,32.066804,34.765902,32.113359,34.842539,1,עירוני
168,קווים,מסוף כרמלית-תל אביב יפו<->מסוף קרית אונו-קרית אונו-11,5,18397,13269,37715,מסוף כרמלית,מסוף קרית אונו,תל אביב יפו,קרית אונו,רחוב:יצחק אלחנן  עיר: תל אביב יפו רציף:   קומה:,רחוב:  עיר: קרית אונו רציף:   קומה:,32.066069,34.764834,32.037353,34.866052,1,עירוני
378,מטרופולין,ת. רכבת ת''א מרכז/רציפים-תל אביב יפו<->הרצל/קיבוץ גלויות-אופקים-1#,7,112714,42869,27945,ת. רכבת ת''א מרכז/רציפים,הרצל/קיבוץ גלויות,תל אביב יפו,אופקים,רחוב:  עיר: תל אביב יפו רציף: 6   קומה:,רחוב:שדרות הרצל  עיר: אופקים רציף:   קומה:,32.083157,34.796091,31.320462,34.619915,3,בינעירוני
378,מטרופולין,שד. הרצל/הנשיא-אופקים<->ת. רכבת ת''א מרכז-תל אביב יפו-2#,8,112593,27591,13729,שד. הרצל/הנשיא,ת. רכבת ת''א מרכז,אופקים,תל אביב יפו,רחוב:שדרות הרצל  עיר: אופקים רציף:   קומה:,רחוב:  עיר: תל אביב יפו רציף:   קומה:,31.320131,34.619773,32.08326,34.797112,3,בינעירוני
